pubMed,clinicTrial
890,237
736,932
574,236
153,1
894,835
845,769
745,149
749,190
101,17
75,364
547,131
198,12
797,318
814,78
928,263
771,872
504,249
955,100
409,48
512,368
506,632
796,109
49,446
195,110
657,619
69,186
152,42
713,285
415,775
630,169
977,146
979,543
344,382
897,61
656,153
438,4
111,533
245,733
637,69
528,184
850,331
701,605
615,157
191,870
942,980
22,305
380,549
450,917
546,938
441,5
672,539
816,334
502,723
658,526
619,862
243,506
612,320
600,279
641,20
776,415
939,629
85,546
87,85
913,774
566,314
2,239
437,901
404,978
449,414
969,732
620,563
56,866
709,447
315,786
847,662
905,161
965,49
842,396
798,729
993,476
929,900
121,873
774,498
117,731
886,259
741,326
499,0
475,30
539,457
636,676
37,493
707,392
273,990
696,93
442,60
631,977
14,182
16,235
77,132
363,610
5,871
995,801
436,470
683,138
116,691
127,73
430,500
30,646
357,92
621,165
608,848
518,845
401,194
883,868
361,367
330,547
0,225
239,79
868,460
180,254
994,420
63,170
554,301
501,669
477,168
855,829
958,885
460,323
365,185
715,679
708,808
544,268
427,958
731,266
937,59
803,118
359,993
327,989
497,90
674,8
932,943
773,904
