Cluster ID,Link Score,source file,fileName,id,Title,Keywords
116,0.52237916,0,pubmedf__0,0,micra® leadless pacemaker,leadless presenting approach pacemaker datum ® atrial similar traditional pacemakercardiac method therapy technology without miniature expectancy risk providesmicra invasive less high conclusion conventional transvenous crt versus year fibrillation therefore micra patients venous pacemakers device life
695,0.12349435,0,pubmedf__1,1,pacemaker complications and costs: a nationwide economic study,leadless study novel may system datum pmsi systems met related traditional %) method national pacemaker therapy ) risk years post security social 18 high conclusion conventional 3 costs crt economic complications reduce database french year hospital including associated pacemakers complicationsnationwide costscardiac device
65,0.6083822,0,pubmedf__2,2,runaway pacemaker,examination datum implantation revealed excellent single generator vvi chamber tachycardiarunaway ventricular pacemakercardiac pacemaker method therapy paced history pulse risk years ecg days ago showing high conclusion ventricular 3 includes crt change tachycardia history device parameters year induced generator new rhythm 4 medical induces
634,0.14649606,0,pubmedf__3,3,pacemaker reprogramming rarely needed after device replacement,action depending needed involved subsequent 173 407 reprogramming outpatient datum replacement method pacemaker therapy without scheduled risk changes 234 visits declines undergone high conclusion involve unscheduled crt involving visitspacemaker programming year whether action visits replacementcardiac rarely reprogramming follow device
268,0.37615925,0,pubmedf__4,4,pacemaker pocket infection rate and suture technique,prevent techniquevalve aortic cardiac wound implantation hematoma outcome pacemaker group control risk high pocket infection implantable device interrupted suture occurred developedpacemaker infection year electronic tavr technique mortality rate group
100,0.54230684,0,pubmedf__5,5,pacemaker implantation and dependency after transcatheter aortic valve replacement in the reprise iii trial,% registration 30 datum implantation block bundle expands right replacement trial method pacemaker aortic url therapy trials risk days stenotic 1 included transcatheter branch 43 without high conclusion within baseline crt days dependent trial reprise year dependencycardiac implantation versus clinical iii valvetranscatheter patients replacement valve device
,,0,pubmedf__6,6,electrocardiographic predictors of pacemaker battery depletion: diagnostic sensitivity specificity and clinical risk,may depletionpacemaker manufacturers tool aortic electrocardiographic demonstrated implantation battery atrial depletion outcome triggers ecgs reasonable sensitivity two pacemaker %) group except met risk ecg yielding record specificity identify rules prediction %) boston high clinicians review 0 depletion 163 specificityvalve high year electronic alert 2 tavr diagnostic help clinical mortality criteria scientific major predictors pacing postoperative medical applied
458,0.23018758,0,pubmedf__7,7,atrioventricular block after tricuspid valve surgery,datum tv block set blockcardiac valve incidencetricuspid method pacemaker therapy surgery risk atrioventricular requirement high conclusion determine conduction crt high year whether tricuspid postoperative valve device tv
168,0.4691364,0,pubmedf__8,8,unusual complication during pacemaker implantation,may syncope pacemaker even palpitations intraoperative cardiac datum old experience method pacemaker therapy dizzinessunusual continues symptoms risk continued rare high conclusion implantationcardiac due therapy crt woman implanted year new treat mild patients effectively postoperative complication device
170,0.46794137,0,pubmedf__9,9,the issue of permanent pacemaker implantation following cardiac surgery,month underwent pacemaker identified patient perioperative cardiac cardiac month based ablation implantation block burden ventricular pacemaker therapy financial early surgery ) recovery complex fibrillation time 1 problempermanent arrhythmias protocol within year period requiring permanent implantation heart prolong issueatrial one predictors following postoperative case put many standardized
229,0.41282168,0,pubmedf__10,10,the impact of cardiac pacemaker implantation on male sexual function,6 pacemaker cardiac cardiac ablation affect satisfaction implantation block least function intercourse rhythm months ventricular dysfunction disorders pacemaker 87 fibrillation erectile 1 76 day 7 desire within 6 pmale sexual year occurred overall heart desire heart p ± impactatrial case
547,0.18382809,0,pubmedf__11,11,design of cardiac pacemaker based on low power mcu,pacemaker even cardiac avoid clock based control charging surgical uses gene function mcu communication mouse activity pacemaker designcircadian accurately power cell replacementlow expression digital information completely scn circuit wirelessly charge rhythm wireless chamber
,,0,pubmedf__12,12,epicardial pacemaker implantation in small animals,approach uncommon minimal datum implantation thoracotomy complications potentially method pacemaker complicationsepicardial therapy epicardial animalscardiac risk incision undergoing endocardial invasive thrombotic high conclusion avoids animals crt thoracic minimally year another small thereby devastating device associated
,,0,pubmedf__13,13,treating or killing? the divergent moral implications of cardiac device deactivation,defibrillator involved pacemaker cardiac work clock practitioners gene moral mouse activity morally support relevant societies cell permissibledivergent expression recent implantable analyses possible treating device leading technologies scn deactivation rhythm ethics replacement killingcircadian cardioverter medical implications
96,0.55019474,0,pubmedf__14,14,anesthetic consideration for patients with micra leadless pacemaker,leadless anesthetic cardiology approach pacemaker cardiac perioperative consult cardiac ablation single block consideration miniaturized challenges fixed right teammicra ventricular pacemaker pose myocardium fibrillation preoperative scheduled patientsatrial transcatheter ventricular wall due team year electrophysiology hour heart prior micra one pacing via anesthesia case chamber
768,0.09530617,0,pubmedf__15,15,pacemaker implantation in familial amyloid polyneuropathy: when and for whom?,hepatic 6 24 4 datum block fap guidelines method pacemaker first therapy exhibited amyloid risk 20 levels atrioventricular 258 high conclusion degree higher implantationcardiac crt clear 10 machado enzymes significantly 7 year transplantation 2 polyneuropathy vs 10 ± lack cytolysis also presented patients submitted familial polyneuropathyfamilial device
97,0.5480934,0,pubmedf__16,16,low delay rate adaptive pacemaker using fpga embedded piezoelectric sensor,effect performed shows pacemaker delay subsequent cardiac utility ablation block accumulative operation pacing sensoratrial much designlow ventricular pacemaker power using according responsive adaptive pacemakers fibrillation consume electric fpga rate year device recognises proposed piezoelectric rdpm requires using lesser sensor heart embedded case memory analysis
,,0,pubmedf__17,17,an innovative hybrid approach for detection of pacemaker pulses at low sampling frequency,approach (~ pulses frequency datum 100µv algorithm pacing 3mv wearable method pacemaker durations therapy ) pulse risk ecg acceptable conditions ) respectively high conclusion 100µs 2ms ventricular sampling term crt % operating simulated interpretations demonstrates proposed detection blocks 100 innovative hybrid year accuracies clinical av sensor detecting make clinically amplitudes pulseslow detectioncardiac modes device devices
250,0.3963488,0,pubmedf__18,18,risk factor for cardiac permanent pacemaker infection,study square pacemaker regression cardiac pulmonary ablation dual block obstructive factorscardiac aureus variable ventricular test pacemaker retrospective chronic causing microorganism control fibrillation multivariate infections resistant analysis methicillin contributing model case staph infection chi significantly disease year risk factoratrial permanent infection prevalent staphylococcus using methicilin heart susceptible case chamber
612,0.15895511,0,pubmedf__19,19,hesperidin depolarizes the pacemaker potentials through 5-ht(4) receptor in murine small intestinal interstitial cells of cajal,depolarize pacemaker cardiac numerous ablation beneficial case block potential ht recording ventricular pacemaker intestinal fibrillation record interstitial effects potentials 5 hesperidin 4atrial investigated icc depolarization year exert receptor emptyingmurine induced depolarizes cells heart cajal potential depolarized small via gastric
596,0.16401348,0,pubmedf__20,20,lightning-induced pacing system malfunction: a case report,system thresholds showed system patient pacing affect datum admission threshold function pacing powerful method spikes pacemaker first described therapy risk years ddd report recurrent high conclusion dysfunctioninduced case malfunction lightningcardiac crt lightning extracted device developed implanted high permanent year induced extremely prior proper 4 interrogation depicted natural phenomenon leading
644,0.14389986,0,pubmedf__21,21,concomitant leadless pacemaker implantation and lead extraction during an active infection,leadless infections positive pacemaker guidelines cardiac cardiac active ablation case blood implantation block cultures ventricular 181 pacemaker infectionatrial continues lead fibrillation current days recommend ) concomitant complete simultaneous transvenous due implantable implantsconcomitant device cied )- year related removal electronic heart extraction extractions device
45,0.6477765,0,pubmedf__22,22,analysis of pacemaker ecgs,ecgs mode contractions pacemaker pvc delay automatic algorithms cardiac ablation systematic block pacing always tachycardia ventricular pacemaker ecgpacemaker loop window ) modifying switching analysisatrial ecg junctional fibrillation specific almost escape ventricular safety malfunction premature endless year approach allows used heart av rhythm pacing case
688,0.12666368,0,pubmedf__23,23,complications and associated healthcare costs of transvenous cardiac pacemakers in germany,higher involved pacemaker average aortic cardiac months dual patientstransvenous implantation systems complicationsvalve outcome generating propensity complications pacemaker group risk insurance post performed 12 health germany high without data post 36 german 922 implant 4627 implanted score year matching tavr substantial using claims mortality healthcare patients pacemakers associated € complication chamber costs
619,0.15401386,0,pubmedf__24,24,permanent pacing post-fontan is not associated with reduced long-term survival,losing involved 35 aortic leeds 5 long implantation enteropathy survival disturbance pacing outcome including complications congenital rhythm fontan pacemaker retrospective survival group 8 control risk post protein 1 longer high case 3 term 6 92 0permanent % unit associatedvalve sinus reduced year study tavr necessitating common 10 heart p mortality 19 day 90
541,0.18511961,0,pubmedf__25,25,pacemaker treatment after fontan surgery-a swedish national study,defects inlet connection study pacemaker frequency cardiac respectively dysfunction ablation patients data left block right hypoplastic ). 44 fontan national pacemaker ventricular fibrillation likelyswedish %) outlet less node among 6 treatment univentricular % previous significantly sinus year double ventricle permanent surgeryatrial common implantation heart heart syndrome regarding cavopulmonary case total
332,0.32049856,0,pubmedf__26,26,prevention of adhesive capsulitis following pacemaker implantation: a randomized controlled study,study reduces ac prevent 16 pacemaker clock implementation candidates implantation gene incidence trial mouse services activity pacemaker capsulitis randomized health cell preventioncircadian expression controlled therapyadhesive therapy significantly 62 care scn 2 clinical ± rhythm weeks following 12 physical device
424,0.2550306,0,pubmedf__27,27,pacemaker use following heart transplantation,%- hearts usually pacemaker 24 cardiac dysfunction presents ablation 30 room operating transplant implantation block transplanted bradycardia arrhythmiaspacemaker ventricular pacemaker pacemakers fibrillation transplantationatrial %. node anastomosis significant within days reperfusion sinus use year implanted bicaval requiring exhibit 2 vs heart heart later rhythm biatrial following patients early case device
807,0.07862045,0,pubmedf__28,28,alpha-loop for permanent pacemaker implantation in restrictive cardiomyopathy,prophylactic limited pacemaker cardiac details ablation implantation block procedural ventricular pacemaker loop occurs lead maneuvers commonly aggressive monitoring restrictive special fibrillation block may complete data ventricular placement year adult cardiomyopathy alphaatrial requires heart patientspermanent heart case
192,0.4428435,0,pubmedf__29,29,anatomical predictors of pacemaker dependency after transcatheter aortic valve replacement,pacemaker cardiac consecutive ablation implantation left block including dependency outflow replacement coronary cusp anatomical δmsid ventricular pacemaker aortic depth dependency influencing fibrillation calcifications included transcatheter undergoing ventricular 3 selection ≥ year mm cusptranscatheter implantation heart tract thus patients day valve case device predictorsatrial
107,0.5390023,0,pubmedf__30,30,permanent pacemaker lead insertion connected to an external pacemaker generator for temporary pacing after transcatheter aortic valve implantation,may underwent pacemaker available connectedpermanent cardiac consecutive ablation case single characteristics insertion implantation pacingatrial generator block connected including commercially ventricular pacemaker aortic without lead fibrillation self transcatheter remained allow earlier temporary baseline currently external year required permanent 114 abnormalities implantation heart conduction insertion center patients valve ambulation
864,0.057250768,0,pubmedf__31,31,adverse clinical events caused by pacemaker battery depletion: two case reports,events chest datum old report block battery depletion resulted depletioncardiac two method pacemaker described therapy risk atrioventricular value complete depletionadverse high conclusion cases case manifesting crt de reports pointes depletion torsade year heart clinical pain caused promotion adverse device male
602,0.162862,0,pubmedf__32,32,cardiac pacing in cardioinhibitory syncope in children,settingcardioinhibitory syncope pacemaker unnecessary cardiac style clock manifest gene mediated mouse activity pacemaker paced changes exceptionally 2 simple childrencircadian cell expression median less ventricular vasodilatory cases present stimulation leipzig bradycardia component scn sufficient heart often severe rhythm center rate pacing age vagally life
522,0.197351,0,pubmedf__33,33,pacemaker lead perforation mimicking symptoms of acute pulmonary embolism,presenting pacemaker heparin effusion cardiac mimicking pulmonary aortic demonstrated pericardial insertion low implantation outcome lab right weight pacemaker group perforation lead echocardiogram serious molecular symptoms drain risk pe spacepacemaker lead routine treatment rare high acute ventricular emergency free dose perforation rv clinic complication catheter year tavr yet mortality however successful following embolismvalve follow
