Cluster ID,Link Score,source file,fileName,id,Title,Keywords
116.0,0.52237916,0,pubmedf__0,0,micra® leadless pacemaker,leadless presenting approach pacemaker datum ® atrial similar traditional pacemakercardiac method therapy technology without miniature expectancy risk providesmicra invasive less high conclusion conventional transvenous crt versus year fibrillation therefore micra patients venous pacemakers device life
65.0,0.6083822,0,pubmedf__2,2,runaway pacemaker,examination datum implantation revealed excellent single generator vvi chamber tachycardiarunaway ventricular pacemakercardiac pacemaker method therapy paced history pulse risk years ecg days ago showing high conclusion ventricular 3 includes crt change tachycardia history device parameters year induced generator new rhythm 4 medical induces
100.0,0.54230684,0,pubmedf__5,5,pacemaker implantation and dependency after transcatheter aortic valve replacement in the reprise iii trial,% registration 30 datum implantation block bundle expands right replacement trial method pacemaker aortic url therapy trials risk days stenotic 1 included transcatheter branch 43 without high conclusion within baseline crt days dependent trial reprise year dependencycardiac implantation versus clinical iii valvetranscatheter patients replacement valve device
96.0,0.55019474,0,pubmedf__14,14,anesthetic consideration for patients with micra leadless pacemaker,leadless anesthetic cardiology approach pacemaker cardiac perioperative consult cardiac ablation single block consideration miniaturized challenges fixed right teammicra ventricular pacemaker pose myocardium fibrillation preoperative scheduled patientsatrial transcatheter ventricular wall due team year electrophysiology hour heart prior micra one pacing via anesthesia case chamber
97.0,0.5480934,0,pubmedf__16,16,low delay rate adaptive pacemaker using fpga embedded piezoelectric sensor,effect performed shows pacemaker delay subsequent cardiac utility ablation block accumulative operation pacing sensoratrial much designlow ventricular pacemaker power using according responsive adaptive pacemakers fibrillation consume electric fpga rate year device recognises proposed piezoelectric rdpm requires using lesser sensor heart embedded case memory analysis
45.0,0.6477765,0,pubmedf__22,22,analysis of pacemaker ecgs,ecgs mode contractions pacemaker pvc delay automatic algorithms cardiac ablation systematic block pacing always tachycardia ventricular pacemaker ecgpacemaker loop window ) modifying switching analysisatrial ecg junctional fibrillation specific almost escape ventricular safety malfunction premature endless year approach allows used heart av rhythm pacing case
107.0,0.5390023,0,pubmedf__30,30,permanent pacemaker lead insertion connected to an external pacemaker generator for temporary pacing after transcatheter aortic valve implantation,may underwent pacemaker available connectedpermanent cardiac consecutive ablation case single characteristics insertion implantation pacingatrial generator block connected including commercially ventricular pacemaker aortic without lead fibrillation self transcatheter remained allow earlier temporary baseline currently external year required permanent 114 abnormalities implantation heart conduction insertion center patients valve ambulation
90.0,0.5649522,0,pubmedf__37,37,a case report: upgrade to cardiac resynchronization therapy with a blocked persistent left-sided superior vena cava,breathlessness sided pacemaker blocked cardiac improvement cardiac ablation upgradeatrial block marked yearssided right superior ventricular pacemaker gentleman therapy cava years fibrillation novo ago 12 left report complete ventricular case leads due de persistent year biventricular developed implanted procedure 15 2 vena heart clinical heart resynchronization challenging case chamber
22.0,0.703716,0,pubmedf__49,49,cardiac implantable electrical devices in patients with hypertrophic cardiomyopathy: single center implant data extracted from the swedish pacemaker and icd registry,defibrillator hypertrophic pacemaker investigate aortic cardiac respectively devices electrical data implantation outcome ). pacemaker group risk swedish therapysingle high hospital tertiary implantable device 10 % implant years 71 year 53 15 cardiomyopathy patientsvalve tavr extracted university implants ± icd mortality resynchronization center cardioverter 93 registry total
71.0,0.60112566,0,pubmedf__56,56,percutaneous epicardial placement of a prototype miniature pacemaker under direct visualization: an infant porcine chronic survival study,infections study direct underwent pacemaker cardiac prototype percutaneous ablation implantation surgical efficacy block leadlet ventricular consists pacemaker survival chronic epicardial lead immature miniature pulse fibrillation porcine ms address channel invasive widths visualizationatrial piglets implanted minimally typically 0 placement year infants diminished modelinfant heart sheath following via case twelve secondary
121.0,0.51933575,0,pubmedf__63,63,who needs a permanent pacemaker after transcatheter aortic valve implantation?,underwent pacemaker system patient datum predictive implantation block single symptomatic method aortic group pacemaker therapy cannot risk needscardiac transcatheter complete high conclusion degenerate crt bradycardia stenosis device onset centre permanent year implantation heart conduction avoiding factorstranscatheter valve identify
25.0,0.69954205,0,pubmedf__69,69,predictors of permanent pacemaker requirement after cardiac surgery for infective endocarditis,valvular placement pacemaker cardiac cardiac independently ablation patients predictive prior implantation excellent endocarditis existing 444 infective block abnormalities infectious %) ventricular pacemaker registrypermanent endocarditis surgery exhibited fibrillation require requirement model significant among implantable postoperatively device surgery placement year 13 clinic predicted developed required permanent electronic necessitating often heart conduction ability cleveland patients postoperative case predictorsatrial
9.0,0.80256784,0,pubmedf__75,75,pacemaker dependency after transcatheter aortic valve replacement compared to surgical aortic valve replacement,underwent patients investigators datum surgical patientstranscatheter related replacement %) method aortic indicated pacemaker therapy immediately risk post days transcatheter treatment high conclusion 3 crt stenosis compared 7 year dependencycardiac standard outcomes clinical severe reviewed 9 50 replacement valve device ppi
98.0,0.5478984,0,pubmedf__77,77,leadless pacemaker implantation after explantation of infected conventional pacemaker systems: a viable solution?,leadless system may 16 provide system subsequent datum systems implantation opportunities pacing ). months viable method explantation pacemaker therapy extraction lead trials risk randomized 20 14 stage 12 1 (> (< pm ) transcatheter systeminfected high conventional conclusion prospective temporary transvenous 6 due therapy crt device year new ± micra infected week patients explantationcardiac later solution
61.0,0.6144512,0,pubmedf__85,85,cremation of leadless pacemaker,leadless pacemaker cardiac . cardiac four ablation devices patients case left block formation explosion ventricular crematoria causing fibrillation minneapolis medtronic gas series present year staffsleadless reported implanted electronic cremationatrial heart neither noticeable potential small rapid inc hazard inside
62.0,0.61150545,0,pubmedf__87,87,syncope in patients with pacemakers,positive system aortic vasovagal results patients implantation outcome tests negative pacemaker group carotid risk test paced syncope pointing high depend node pacemakersvalve malfunction vastly disease sinus approach positivity different year tavr show mortality older syndrome patients tilt resultssyncope
