,pubMed,clinicTrial,pubMed_Title,pubMed_keywords,clinicTrial_Title,clinicTrial_keywords,keywords_common
0,816,964,prior pacemaker implantation and clinical outcomes in patients with heart failure and preserved ejection fraction,estimated may filtration cardiac dysfunction . glomerular datum driven implantation left sudden electrical pacing right causes method pacemaker therapy 026 mechanical mainly ) risk function rates may patientscardiac systolic lower conventional ventricular ejection dyssynchrony high conclusion preserved 6 patientprior crt indexes failure device mass body year induced dyssynchrony heart e clinical outcomes per fraction 100 worsen death,quantitative mri for characterizing heart failure with preserved ejection fraction,psychology ) coronary fibrosis magnetic resonance imaging research clinical testing serial imaging imaging approach treatment response public health prognostic marker physiologic pulse myocardial tissuepreserved ejection fraction characterizing heart failure quantitative mri,ejection failure heart fraction clinical )
1,706,319,sex differences and long-term outcome in patients with pacemakers,valvular underwent pacemaker cardiac ablation patients block kidney consisted increased pacing men coronary replacement ventricular artery pacemaker 19 chronic 64 without ) lead cardiovascular fibrillation influenced ventricular comorbidities longatrial implantations significantly disease regurgitation year sex cohort study diseaseterm heart heart outcome tricuspid differences center pacemakers threshold case,androgen receptors and sex differences in the biological clock,enterobacteria phage p1 cre recombinase designer receptors exclusively activated science ) endocrine retinal ganglion cells biological neural networks gonadal steroid hormones nervous system disorder designer drugs steroid hormone nervous systemsex differences biological clock androgen receptors,) differences
2,493,426,predictors of death in chronic chagas cardiomyopathy patients with pacemaker,study independent 150ms pacemaker fraction class annual mortality 32chronic patients datum left atrial final qrs enlargement method therapy variables deathcardiac ) 43 003 risk multivariate logistic included advanced model ejection high conclusion ventricular prospective chagas ≥ rate crt 034 disease five renal device cohort high year ≤ despite cardiomyopathy hf center rate predictors functional regression,predictors of cardiomyopathy progression in a chagas disease cohort in bolivia,connective tissue growth factor transforming growth factors science ) epidemiology brain natriuretic peptide congestive heart failure matrix metalloproteinase inhibitor public health relevance heart disease risk heart diseases matrix metalloproteinaseschagas disease cohort cardiomyopathy progression predictors bolivia,disease cohort risk ) predictors cardiomyopathy
3,18,326,risk factor for cardiac permanent pacemaker infection,study square pacemaker regression cardiac pulmonary ablation dual block obstructive factorscardiac aureus variable ventricular test pacemaker retrospective chronic causing microorganism control fibrillation multivariate infections resistant analysis methicillin contributing model case staph infection chi significantly disease year risk factoratrial permanent infection prevalent staphylococcus using methicilin heart susceptible case chamber,regulation and function of the circadian factor period2,simian virus 40 public health relevance high fat diet embryonic stem cell chromosome conformation capture cell differentiation process energy metabolism pathway regulatory pathway energy metabolism upstream kinasecircadian factor period2 regulation function,
4,334,519,lead-sparing tricuspid valve repair damaged by pacemaker lead,may muscle pacemaker cardiac ablation block insidesparing annuloplasty valve ventricular pacemaker leadatrial lead causing containing fibrillation lead ring uncommon ways damaged sparing regurgitation various year repair complication muscle permanent posterior severe damage heart caused tricuspid papillary repair valve case,removal of damaged mitochondria by alternative autophagy,reactive oxygen species ripk1 gene release factor quality control parkin gene myocardial dysfunction mitochondrial dysfunction mitochondrial autophagy knockout mice golgi apparatusdamaged mitochondria alternative autophagy removal,
5,680,128,an application of pacemaker respiratory monitoring system for the prediction of heart failure,positive pacemaker system cardiac prediction ablation report block index imply disturbance impedance complications applicationatrial 200 facilitate ventricular using respiratory monitoringpacemaker sorin sr fibrillation could sas monitoring case among airway sleep device sensor algorism year thoracic failure pressure common heart crm using sensor heart reply apnea case,a device for monitoring heart failure patients,current procedural terminology codes digital signal processing chest wall structure signal transduction therapeutic intervention smartphone application readmission rates public health positioning attribute myocardial contractionmonitoring heart failure patients device,failure device heart
6,634,173,a rare indication of permanent pacemaker implantation in children: congenital long qt syndrome,may torsades prolonged pacemaker cardiac dangerous ablation implantation block sudden childrenatrial congenital long bradycardia ventricular pacemaker deathcongenital fibrillation cause resistant qt even rare disorder de year pointes permanent avoid heart syndrome arrhythmic interval case death indication,mechanisms of long qt syndrome 1 in heart,fluorescence resonance energy transfer public health relevance long qt syndrome genetic regulatory protein sudden cardiac death kinase anchoring protein protein kinase ward syndrome protein expression adenylate kinaselong qt syndrome 1 mechanisms heart,cardiac sudden heart qt death syndrome long
7,449,787,pacemaker implantation after catheter ablation for atrial fibrillation,index pacemaker cardioversion congestive cardiac ablation hazards cox charlson groups implantation block us atrial female commercial ventricular dysfunction pacemaker certain ) modelspacemaker insurance years fibrillation 2 1 ) gender fibrillationatrial node chads2 higher ps matched baseline within large )- 0 sinus year score requiring database year 2 catheter heart heart (≥ 0 comorbidities 50 patients proportional 28 failure versus case,molecular mechanisms for atrial fibrillation in aging,science ) genetically engineered mouse protein kinase c epsilon public health relevance protein structure targeted agent signal pathway roentgen rays ray crystallography phosphatidylinositol 4 pathway interactionsmolecular mechanisms atrial fibrillation aging,) fibrillation atrial
8,465,75,device complications in adult congenital heart disease,948 pacemaker cardiac ablation devices regression implantation block robust congenital ventricular toward pacemaker using identify without errorsadult fibrillation chd rates undergoing lower complicationsatrial 852 among trend transvenous 30 receiving disease year adult complication standard implantation heart using icd heart patients poisson initial case device,genetic mechanisms of congenital heart disease,united states national institutes computed tomography screening atrioventricular septal defect next generation sequencing genetic screening method congenital heart disorder national institute national heart gene defect congenital abnormalitycongenital heart disease genetic mechanisms,disease congenital heart
9,184,539,troubleshooting a pacemaker output failure: a case report,expanding advised even oversensing offer intrinsic quality automatic datum modern replacement method therapy though output rapidly lead risk need pm report stretched high r ventricular case conclusion resulting pms wave crt functionpacemaker receiving resources failure device troubleshootingcardiac year good hospital care pms patients already occurred medical sensitivity,regulation of cardiac power output in health and disease,induced pluripotent stem cell stem cells cell type cell motility heart cell tissue engineering sudden death single molecule positioning attribute pharmaceutical preparationscardiac power output regulation health disease,output
