Cluster ID,Link Score,source file,fileName,id,Title,Keywords
,,0,pubmedf__0,0,micra® leadless pacemaker,leadless presenting approach pacemaker datum ® atrial similar traditional pacemakercardiac method therapy technology without miniature expectancy risk providesmicra invasive less high conclusion conventional transvenous crt versus year fibrillation therefore micra patients venous pacemakers device life
617,0.41016173,0,pubmedf__1,1,pacemaker complications and costs: a nationwide economic study,leadless study novel may system datum pmsi systems met related traditional %) method national pacemaker therapy ) risk years post security social 18 high conclusion conventional 3 costs crt economic complications reduce database french year hospital including associated pacemakers complicationsnationwide costscardiac device
,,0,pubmedf__2,2,runaway pacemaker,examination datum implantation revealed excellent single generator vvi chamber tachycardiarunaway ventricular pacemakercardiac pacemaker method therapy paced history pulse risk years ecg days ago showing high conclusion ventricular 3 includes crt change tachycardia history device parameters year induced generator new rhythm 4 medical induces
,,0,pubmedf__3,3,pacemaker reprogramming rarely needed after device replacement,action depending needed involved subsequent 173 407 reprogramming outpatient datum replacement method pacemaker therapy without scheduled risk changes 234 visits declines undergone high conclusion involve unscheduled crt involving visitspacemaker programming year whether action visits replacementcardiac rarely reprogramming follow device
738,0.3658879,0,pubmedf__4,4,pacemaker pocket infection rate and suture technique,prevent techniquevalve aortic cardiac wound implantation hematoma outcome pacemaker group control risk high pocket infection implantable device interrupted suture occurred developedpacemaker infection year electronic tavr technique mortality rate group
750,0.3620404,0,pubmedf__5,5,pacemaker implantation and dependency after transcatheter aortic valve replacement in the reprise iii trial,% registration 30 datum implantation block bundle expands right replacement trial method pacemaker aortic url therapy trials risk days stenotic 1 included transcatheter branch 43 without high conclusion within baseline crt days dependent trial reprise year dependencycardiac implantation versus clinical iii valvetranscatheter patients replacement valve device
690,0.385802,0,pubmedf__6,6,electrocardiographic predictors of pacemaker battery depletion: diagnostic sensitivity specificity and clinical risk,may depletionpacemaker manufacturers tool aortic electrocardiographic demonstrated implantation battery atrial depletion outcome triggers ecgs reasonable sensitivity two pacemaker %) group except met risk ecg yielding record specificity identify rules prediction %) boston high clinicians review 0 depletion 163 specificityvalve high year electronic alert 2 tavr diagnostic help clinical mortality criteria scientific major predictors pacing postoperative medical applied
155,0.56237257,0,pubmedf__7,7,atrioventricular block after tricuspid valve surgery,datum tv block set blockcardiac valve incidencetricuspid method pacemaker therapy surgery risk atrioventricular requirement high conclusion determine conduction crt high year whether tricuspid postoperative valve device tv
290,0.51376724,0,pubmedf__8,8,unusual complication during pacemaker implantation,may syncope pacemaker even palpitations intraoperative cardiac datum old experience method pacemaker therapy dizzinessunusual continues symptoms risk continued rare high conclusion implantationcardiac due therapy crt woman implanted year new treat mild patients effectively postoperative complication device
557,0.42998144,0,pubmedf__9,9,the issue of permanent pacemaker implantation following cardiac surgery,month underwent pacemaker identified patient perioperative cardiac cardiac month based ablation implantation block burden ventricular pacemaker therapy financial early surgery ) recovery complex fibrillation time 1 problempermanent arrhythmias protocol within year period requiring permanent implantation heart prolong issueatrial one predictors following postoperative case put many standardized
63,0.6176277,0,pubmedf__10,10,the impact of cardiac pacemaker implantation on male sexual function,6 pacemaker cardiac cardiac ablation affect satisfaction implantation block least function intercourse rhythm months ventricular dysfunction disorders pacemaker 87 fibrillation erectile 1 76 day 7 desire within 6 pmale sexual year occurred overall heart desire heart p ± impactatrial case
633,0.40367857,0,pubmedf__11,11,design of cardiac pacemaker based on low power mcu,pacemaker even cardiac avoid clock based control charging surgical uses gene function mcu communication mouse activity pacemaker designcircadian accurately power cell replacementlow expression digital information completely scn circuit wirelessly charge rhythm wireless chamber
641,0.40175942,0,pubmedf__12,12,epicardial pacemaker implantation in small animals,approach uncommon minimal datum implantation thoracotomy complications potentially method pacemaker complicationsepicardial therapy epicardial animalscardiac risk incision undergoing endocardial invasive thrombotic high conclusion avoids animals crt thoracic minimally year another small thereby devastating device associated
389,0.48246542,0,pubmedf__13,13,treating or killing? the divergent moral implications of cardiac device deactivation,defibrillator involved pacemaker cardiac work clock practitioners gene moral mouse activity morally support relevant societies cell permissibledivergent expression recent implantable analyses possible treating device leading technologies scn deactivation rhythm ethics replacement killingcircadian cardioverter medical implications
647,0.4000538,0,pubmedf__14,14,anesthetic consideration for patients with micra leadless pacemaker,leadless anesthetic cardiology approach pacemaker cardiac perioperative consult cardiac ablation single block consideration miniaturized challenges fixed right teammicra ventricular pacemaker pose myocardium fibrillation preoperative scheduled patientsatrial transcatheter ventricular wall due team year electrophysiology hour heart prior micra one pacing via anesthesia case chamber
658,0.39602932,0,pubmedf__15,15,pacemaker implantation in familial amyloid polyneuropathy: when and for whom?,hepatic 6 24 4 datum block fap guidelines method pacemaker first therapy exhibited amyloid risk 20 levels atrioventricular 258 high conclusion degree higher implantationcardiac crt clear 10 machado enzymes significantly 7 year transplantation 2 polyneuropathy vs 10 ± lack cytolysis also presented patients submitted familial polyneuropathyfamilial device
255,0.5240529,0,pubmedf__16,16,low delay rate adaptive pacemaker using fpga embedded piezoelectric sensor,effect performed shows pacemaker delay subsequent cardiac utility ablation block accumulative operation pacing sensoratrial much designlow ventricular pacemaker power using according responsive adaptive pacemakers fibrillation consume electric fpga rate year device recognises proposed piezoelectric rdpm requires using lesser sensor heart embedded case memory analysis
263,0.5205533,0,pubmedf__17,17,an innovative hybrid approach for detection of pacemaker pulses at low sampling frequency,approach (~ pulses frequency datum 100µv algorithm pacing 3mv wearable method pacemaker durations therapy ) pulse risk ecg acceptable conditions ) respectively high conclusion 100µs 2ms ventricular sampling term crt % operating simulated interpretations demonstrates proposed detection blocks 100 innovative hybrid year accuracies clinical av sensor detecting make clinically amplitudes pulseslow detectioncardiac modes device devices
3,0.78794575,0,pubmedf__18,18,risk factor for cardiac permanent pacemaker infection,study square pacemaker regression cardiac pulmonary ablation dual block obstructive factorscardiac aureus variable ventricular test pacemaker retrospective chronic causing microorganism control fibrillation multivariate infections resistant analysis methicillin contributing model case staph infection chi significantly disease year risk factoratrial permanent infection prevalent staphylococcus using methicilin heart susceptible case chamber
431,0.46939713,0,pubmedf__19,19,hesperidin depolarizes the pacemaker potentials through 5-ht(4) receptor in murine small intestinal interstitial cells of cajal,depolarize pacemaker cardiac numerous ablation beneficial case block potential ht recording ventricular pacemaker intestinal fibrillation record interstitial effects potentials 5 hesperidin 4atrial investigated icc depolarization year exert receptor emptyingmurine induced depolarizes cells heart cajal potential depolarized small via gastric
