Cluster ID,Link Score,source file,fileName,id,Title,Keywords
155.0,0.56237257,0,pubmedf__7,7,atrioventricular block after tricuspid valve surgery,datum tv block set blockcardiac valve incidencetricuspid method pacemaker therapy surgery risk atrioventricular requirement high conclusion determine conduction crt high year whether tricuspid postoperative valve device tv
63.0,0.6176277,0,pubmedf__10,10,the impact of cardiac pacemaker implantation on male sexual function,6 pacemaker cardiac cardiac ablation affect satisfaction implantation block least function intercourse rhythm months ventricular dysfunction disorders pacemaker 87 fibrillation erectile 1 76 day 7 desire within 6 pmale sexual year occurred overall heart desire heart p ± impactatrial case
3.0,0.78794575,0,pubmedf__18,18,risk factor for cardiac permanent pacemaker infection,study square pacemaker regression cardiac pulmonary ablation dual block obstructive factorscardiac aureus variable ventricular test pacemaker retrospective chronic causing microorganism control fibrillation multivariate infections resistant analysis methicillin contributing model case staph infection chi significantly disease year risk factoratrial permanent infection prevalent staphylococcus using methicilin heart susceptible case chamber
99.0,0.5844943,0,pubmedf__22,22,analysis of pacemaker ecgs,ecgs mode contractions pacemaker pvc delay automatic algorithms cardiac ablation systematic block pacing always tachycardia ventricular pacemaker ecgpacemaker loop window ) modifying switching analysisatrial ecg junctional fibrillation specific almost escape ventricular safety malfunction premature endless year approach allows used heart av rhythm pacing case
114.0,0.58023524,0,pubmedf__25,25,pacemaker treatment after fontan surgery-a swedish national study,defects inlet connection study pacemaker frequency cardiac respectively dysfunction ablation patients data left block right hypoplastic ). 44 fontan national pacemaker ventricular fibrillation likelyswedish %) outlet less node among 6 treatment univentricular % previous significantly sinus year double ventricle permanent surgeryatrial common implantation heart heart syndrome regarding cavopulmonary case total
10.0,0.72776324,0,pubmedf__27,27,pacemaker use following heart transplantation,%- hearts usually pacemaker 24 cardiac dysfunction presents ablation 30 room operating transplant implantation block transplanted bradycardia arrhythmiaspacemaker ventricular pacemaker pacemakers fibrillation transplantationatrial %. node anastomosis significant within days reperfusion sinus use year implanted bicaval requiring exhibit 2 vs heart heart later rhythm biatrial following patients early case device
47.0,0.63381535,0,pubmedf__31,31,adverse clinical events caused by pacemaker battery depletion: two case reports,events chest datum old report block battery depletion resulted depletioncardiac two method pacemaker described therapy risk atrioventricular value complete depletionadverse high conclusion cases case manifesting crt de reports pointes depletion torsade year heart clinical pain caused promotion adverse device male
163.0,0.55637306,0,pubmedf__32,32,cardiac pacing in cardioinhibitory syncope in children,settingcardioinhibitory syncope pacemaker unnecessary cardiac style clock manifest gene mediated mouse activity pacemaker paced changes exceptionally 2 simple childrencircadian cell expression median less ventricular vasodilatory cases present stimulation leipzig bradycardia component scn sufficient heart often severe rhythm center rate pacing age vagally life
33.0,0.65989256,0,pubmedf__34,34,acetylcholine exerts inhibitory and excitatory actions on mouse ileal pacemaker activity: role of muscarinic versus nicotinic receptors,whole contractions may atropine muscle mouse actionsmuscarinic acetylcholine inhibitory ileal pacemaker segments clock spatial revealed gene properties contribute tone recording exerts mouse revealed pacemaker activity exhibited rolecircadian actions receptors cell expression potentials spontaneous nicotinic manifested thickness significantly reduced scn induced smooth excitatory also inhibiting rhythm potentials tonic versus basal analysis
112.0,0.5812351,0,pubmedf__42,42,follow-up of patients with cardiac pacemakers,symptoms cardiac professionals play patients datum practitioners examinations followcardiac late method first therapy warrant risk pacemakers workup less high conclusion confronted crt urgent device flags year abstract general weeks pacemakers red includecardiac medical overtly associated
