id,label
0,"12 Years to 18 Years   (Child, Adult)"
1,"14 Years and older   (Child, Adult, Older Adult)"
2,"14 Years to 65 Years   (Child, Adult, Older Adult)"
3,"15 Years and older   (Child, Adult, Older Adult)"
4,"16 Years and older   (Child, Adult, Older Adult)"
5,"18 Years and older   (Adult, Older Adult)"
6,"18 Years to 100 Years   (Adult, Older Adult)"
7,18 Years to 60 Years   (Adult)
8,"18 Years to 75 Years   (Adult, Older Adult)"
9,"18 Years to 80 Years   (Adult, Older Adult)"
10,"18 Years to 85 Years   (Adult, Older Adult)"
11,"18 Years to 90 Years   (Adult, Older Adult)"
12,"18 Years to 99 Years   (Adult, Older Adult)"
13,"19 Years and older   (Adult, Older Adult)"
14,"19 Years to 75 Years   (Adult, Older Adult)"
15,"20 Years and older   (Adult, Older Adult)"
16,"20 Years to 110 Years   (Adult, Older Adult)"
17,20 Years to 60 Years   (Adult)
18,"20 Years to 90 Years   (Adult, Older Adult)"
19,"21 Years and older   (Adult, Older Adult)"
20,21 Years to 55 Years   (Adult)
21,"21 Years to 80 Years   (Adult, Older Adult)"
22,"22 Years and older   (Adult, Older Adult)"
23,"40 Years and older   (Adult, Older Adult)"
24,"40 Years to 85 Years   (Adult, Older Adult)"
25,"50 Years and older   (Adult, Older Adult)"
26,"55 Years and older   (Adult, Older Adult)"
27,"60 Years and older   (Adult, Older Adult)"
28,"60 Years to 110 Years   (Adult, Older Adult)"
29,"60 Years to 95 Years   (Adult, Older Adult)"
30,65 Years and older   (Older Adult)
31,75 Years and older   (Older Adult)
32,"9 Years and older   (Child, Adult, Older Adult)"
33,"9 Years to 100 Years   (Child, Adult, Older Adult)"
34,"Child, Adult, Older Adult"
35,"up to 100 Years   (Child, Adult, Older Adult)"
36,"up to 18 Years   (Child, Adult)"
37,"up to 21 Years   (Child, Adult)"
38,"up to 89 Years   (Child, Adult, Older Adult)"
