id_source,id_target
0,149.0
2,70.0
5,61.0
7,40.0
10,105.0
14,186.0
16,120.0
18,76.0
22,236.0
25,114.0
27,45.0
30,99.0
31,6.0
32,169.0
34,123.0
37,230.0
42,266.0
44,193.0
46,156.0
49,261.0
50,228.0
56,207.0
60,33.0
63,31.0
65,164.0
66,197.0
69,
71,179.0
75,251.0
77,144.0
79,147.0
80,174.0
82,240.0
85,73.0
87,264.0
93,122.0
98,115.0
101,25.0
110,102.0
111,226.0
112,100.0
116,50.0
117,119.0
121,208.0
125,63.0
126,28.0
127,97.0
129,44.0
136,90.0
137,200.0
141,217.0
143,278.0
145,3.0
152,256.0
153,46.0
154,276.0
165,188.0
169,279.0
170,7.0
171,270.0
180,258.0
181,32.0
182,225.0
184,200.0
189,19.0
191,5.0
195,30.0
196,275.0
198,92.0
207,23.0
218,254.0
220,65.0
221,172.0
224,103.0
239,77.0
242,18.0
243,86.0
245,253.0
257,183.0
258,250.0
267,127.0
272,265.0
273,140.0
287,0.0
290,273.0
293,126.0
302,198.0
315,145.0
320,255.0
323,59.0
327,139.0
330,148.0
331,252.0
334,238.0
335,4.0
340,176.0
341,74.0
344,286.0
350,274.0
351,228.0
357,269.0
359,212.0
361,281.0
363,155.0
365,151.0
371,111.0
380,206.0
388,178.0
389,214.0
395,9.0
396,68.0
398,165.0
401,257.0
404,211.0
406,205.0
409,24.0
415,24.0
422,2.0
426,241.0
427,192.0
430,162.0
432,189.0
435,21.0
436,118.0
437,39.0
438,171.0
440,101.0
441,131.0
442,237.0
449,150.0
450,37.0
460,182.0
461,38.0
462,245.0
465,81.0
467,67.0
472,113.0
475,221.0
477,26.0
483,35.0
493,80.0
497,62.0
499,
501,187.0
502,180.0
504,15.0
505,87.0
506,39.0
512,146.0
514,137.0
518,166.0
527,260.0
528,248.0
539,14.0
544,22.0
546,280.0
547,17.0
550,194.0
551,215.0
554,181.0
558,175.0
560,202.0
562,222.0
566,107.0
574,78.0
593,268.0
595,134.0
600,10.0
601,85.0
606,242.0
607,235.0
608,185.0
611,124.0
612,213.0
615,271.0
618,82.0
619,154.0
620,117.0
621,158.0
630,105.0
631,262.0
632,153.0
634,4.0
635,12.0
636,29.0
637,36.0
639,243.0
641,49.0
642,11.0
647,66.0
648,48.0
650,57.0
656,223.0
657,263.0
658,20.0
672,125.0
673,283.0
674,119.0
680,64.0
683,142.0
686,231.0
691,95.0
696,201.0
697,51.0
699,267.0
701,75.0
706,60.0
707,239.0
708,34.0
709,43.0
712,229.0
713,277.0
715,71.0
723,141.0
726,110.0
727,88.0
731,259.0
732,284.0
735,38.0
736,130.0
740,247.0
741,161.0
743,227.0
745,190.0
746,104.0
747,69.0
749,220.0
755,282.0
759,8.0
760,168.0
761,143.0
764,58.0
771,231.0
773,128.0
774,219.0
776,160.0
793,84.0
796,109.0
797,210.0
798,87.0
800,191.0
803,13.0
805,54.0
807,163.0
809,47.0
814,209.0
816,199.0
827,42.0
834,48.0
842,132.0
845,52.0
847,55.0
850,138.0
851,89.0
855,152.0
857,287.0
860,196.0
868,167.0
871,16.0
876,93.0
877,27.0
882,41.0
883,173.0
886,170.0
888,246.0
890,91.0
894,1.0
896,216.0
897,159.0
905,116.0
907,72.0
910,98.0
913,224.0
917,56.0
918,136.0
928,79.0
929,108.0
932,233.0
933,195.0
937,106.0
939,203.0
942,94.0
944,129.0
948,204.0
949,218.0
951,121.0
955,96.0
958,157.0
961,234.0
963,112.0
965,53.0
966,133.0
969,232.0
974,83.0
977,184.0
978,177.0
979,135.0
993,249.0
994,244.0
995,272.0
