id,title
237,Risk of Syncopal Relapses in Patients Treated With Permanent Pacing for Bradyarrhythmic Syncope
932,Tricuspid Regurgitation Study
236,Risk of Pacing-induced Cardiomyopathy
1,Placement Of Cardiac PacemaKer Trial (POCKET)-RCT
835,Positron Emission Tomography of Infection and Vasculitis
769,Bridge Occlusion Balloon in Lead Extraction Procedure
149,The Atrial High Rate Episodes in Pacemaker Patients
190,Optimising Pacemaker Therapy for Contractility
17,Safety of Magnetic Resonance Imaging in Patients With Pacemakers and Defibrillators
364,Conduction Disease After Transcatheter Aortic Valve Replacement
131,Physical Activity and Pacemaker Study
12,Project My Heart Your Heart: Pacemaker Reuse
318,Sleep Apnea Screening
78,Complications Following Pacemaker Implantation
263,Device-detected Paroxysmal Atrial Fibrillation
872,DeBakey Cardiovascular Magnetic Resonance Study
249,Clinically Indicated Magnetic Resonance Imaging in Patients With Cardiac Devices
100,Micra Transcatheter Pacing Study
48,Long-term Pacemaker Arrhythmia Analysis
368,Clinical Study of LBBP
632,Registry of Device Implantation
109,Falls and Cardiovascular Events in Pacemaker Patients
446,BIA and Cardiac Implantable Electronic Devices
110,Evaluation of a New Cardiac Pacemaker
619,The REACT-ICD Trial
186,Placement of Permanent Pacemaker Study
42,Cardiac Rehabilitation After Pacemaker Implantation
285,Minimizing Ventricular Pacing
775,Brain Microbleeds After Transcatheter Aortic Valve Replacement
169,ICD-ON Registry: Periop Management of Cardiac Devices
146,Cardiac Resynchronization in the Elderly
543,Clinical Investigation of the SelectSecure Pacing Lead
382,Conduction Abnormalities With Severe Aortic Stenosis Before and After Transcatheter Aortic Valve Replacement
61,The LEADLESS Observational Study
153,Effects of Right Ventricular Pacemaker Lead Position Assessed by MRI
4,Evaluation Of Pacemakers in Children
533,Same Day Discharge
733,Optimal Cardiac Resynchronization Therapy Pacing Rate
69,Optimised Pacing Program
184,ULTRA Study for Pacemaker Patients
331,MIRACLE EF Clinical Study
605,Optimize PRO Study
157,Temporary Transvenous Pacemaker Placement by Intracavitary Electrocardiogram Monitoring
870,Accent Cardiac MRI Study
980,The CONFIDENCE Registry
305,Analysis of the Acceptance and Changes to Parameters Programming Suggested by the TherapyGuide Function
549,Contemporary Transvenous Lead Extraction Outcomes
917,Qubic Stim in China
938,SwissTAVI Registry
5,Early Mobilization After Pacemaker Implantation.
539,Mayo Clinic Cardiac Implantable Electronic Device MRI Registry
334,Physiologic Accelerated Pacing as a Treatment in Patients With Heart Failure With Preserved Ejection Fraction
723,Telomeres and Arterial Aging
526,Setrox JS Master Study
862,Get With the Guidelines in ED Patients With Heart Failure
506,China Micra Transcatheter Pacing Study
320,Adverse Events of MRI With Abandoned Leads
279,Exercise in Patients With a Biventricular Pacemaker
20,Perioperative Management of Patients With Pacemakers
415,Impact of Amyloidosis on TAVI Patients
629,Left Bundle Branch Block (LBBB) After IntuityTM
546,Prophylactic Treatment of High-Risk Patients With Cardiovascular Implantable Electronic Devices (CIED)With Continuous In-Situ Ultra High-Dose Antibiotics (CITA) Under Regulated Negative Pressure-Assisted Wound Therapy (RNPT)
85,QT Interval in Patients With Pacemaker Dependency
774,REASSURE AV Registry
314,Laryngeal Pacing Study
239,Intravenous n-3 Fatty Acids and Ventricular Tachycardia in Patients With Implantable Cardioverter Defibrillator (ICD)-Pacemaker
901,Global CMR Registry
978,Rheos® Pivotal Trial
414,Rhythm Control - Catheter Ablation With or Without Anti-arrhythmic Drug Control of Maintaining Sinus Rhythm Versus Rate Control With Medical Therapy and/or Atrio-ventricular Junction Ablation and Pacemaker Treatment for Atrial Fibrillation
732,SITELINE 2 Polyurethane
563,Catheter Ablation Registry
866,Iperia/Sentus QP Study
447,Advisa MRI Clinical Study
786,Sarcopenia Magnetic Resonance Imaging Evaluation (SUSIE)
662,Model 20066 Left Ventricular (LV) Lead Study
161,Safety of Cardiac Pacemakers in 1.5T Tesla MRI
49,Ventricular Pace Suppression Study
396,"Effects of Left Ventricular Pacing Optimilization on Cardiac Perfusion, Contractile Force, and Clinical Performance in Patients With Ventricular Dysfunction and Heart Failure"
729,Mirroring a Movement
476,Atrial Fibrillation (AF) and Physical Exercise
900,Japanese Lead Extraction Registry
873,EMRI SureScan™ Clinical Study
498,Physiologic Pacing Registry
731,Efficacy of Transcatheter Ablation Using Anatomic Approach of Ganglionated Plexi Located in the Right Atrium to Prevent Neuromediated Cardioinhibitory Syncope
259,Adapta Pacing System Clinical Study
326,Genetic Basis of Pacing-induced Cardiomyopathy
0,Taiwan Registry for Leadless Pacemaker
30,Evaluation of the SafeR Mode in Patients With a Dual Chamber Pacemaker Indication
457,Blocks Alternative to Sedation
676,Cologne Cardioversion Study
493,Home Monitoring in Cardiac Resynchronisation Therapy
392,Statin and PAF in Patients With Pacemaker
990,Safety and Efficacy Study of the Medtronic CoreValve® System in the Treatment of Symptomatic Severe Aortic Stenosis in High Risk and Very High Risk Subjects Who Need Aortic Valve Replacement
93,Progressive Ventricular Dysfunction Prevention in Pacemaker Patients
60,Virtual Clinic Pacemaker Follow-up
977,Assessment of Arrhythmias in Patients Undergoing Transcatheter Aortic Valve Implantation Using a Small Insertable Cardiac Monitoring Device
182,Evaluation of EMI in Patients With Micra Leadless Pacemaker
235,APPROPRIATE - Rate Adaptive Pacing Sensor
132,Gastric Pacemaker Implantation for Gastroparesis
610,ARrhythmias in MYocarditis
871,The preDIlatation in tRanscathEter aortiC Valve implanTation Trial
801,Omega 3 Fatty Acid Trial
470,Safety and Clinical Outcomes of Magnetic Resonance Imaging in Patients With Cardiac Implantable Electrical Devices
138,Pacemaker Upgrade to Cardiac Resynchronisation Therapy in Patients With Left Ventricular Dysfunction Dependant Upon Right Ventricular Pacing
691,R Wave Sensing After VT Ablation
73,Cardiac MRI After Pacemaker Replacement
500,PANORAMA Observational Study
646,ECG for Programming in CRT
92,Effect of Standardized Exercise on Cardiopulmonary Function in Patients With Permanent Pacemaker Implantation
165,ProMRI PROVEN Master Study
848,Rook Epicardial Access Device Study
845,HGNS on Cardiovascular Outcomes
194,Thromboembolic Complications After Pacemaker or Implantable Cardioverter-Defibrillator Procedures
868,CareLink® Network Evaluation
367,Mobile Health For Pacemaker Patientes
547,Early Outcomes of Concomitant Transcatheter Aortic Valve Implantation and Off-pump Coronary Artery Bypass Grafting in Management of Severe Symptomatic Aortic Stenosis and Coronary Artery Disease
225,Asymptomatic Atrial Fibrillation and Stroke Evaluation in Pacemaker Patients and the Atrial Fibrillation Reduction Atrial Pacing Trial
79,The LEADLESS II IDE Study (Phase I)
460,Automated Cardioverter Defibrillator in Children
254,Abbott Brady 3T MRI PMCF
420,TENS in Optimizer(R) Patients
170,Indication of Permanent Cardiac Parcing After Tanscatheter Aortic Valve Implantation
301,Pacemaker and Defibrillator Lead Extraction Registry
669,Remote Care for CIED Patients in Korea
168,BIO|MASTER.Edora Family Study
829,Treatment of Cervical Syndrome With Myofascial Therapies
885,FREEZE-AFIB Post-Market Study
323,Spontaneous Atrioventricular Conduction Preservation
185,Sleep Apnea and CRT Upgrading
679,Changes in Myocardial Perfusion During Chronic Multi Site Biventricular Versus Right Ventricular Apex Pacing in Patients With Normal Left Ventricular Function Undergoing His Bundle Ablation for Drug-refractory Atrial Fibrillation
808,ADVANCE Direct Aortic Study
268,Specialized Pacing for Patients With Congenital Heart Disease
958,Medtronic Terminate AF Study
266,Ingenio Device Algorithm Study
59,Evia/Entovis HF-T Master Study
118,P3: Pacemaker Patient Profiling Study
993,"Managed Ventricular Pacing (""MVP"") Trial"
989,Safety and Efficacy Continued Access Study of the Medtronic CoreValve® System in the Treatment of Symptomatic Severe Aortic Stenosis in Very High Risk Subjects and High Risk Subjects Who Need Aortic Valve Replacement
90,Atrioventricular Optimization for Dual Chamber Pacemaker
8,Pacemaker Utilization and Ventricular Pacing in Patients Undergoing Trans-catheter Aortic Valve Replacement (TAVR)
943,Impact of Predilatation Between Self-expanding Valves
904,Post-Operative Atrial Fibrillation After Surgical Aortic Valve Replacement and the Influence of Statins
