id_source,id_target
237,5
932,11
236,11
1,34
835,5
769,10
149,25
190,5
17,33
364,5
131,26
12,5
318,5
78,34
263,5
872,34
249,32
100,5
48,5
368,6
632,9
109,25
446,34
110,5
619,5
186,5
42,14
285,23
775,27
169,5
146,31
543,34
382,11
61,5
153,11
4,36
533,5
733,5
69,4
184,5
331,5
605,34
157,1
870,5
980,6
305,5
549,5
917,5
938,34
5,5
539,5
334,5
723,15
526,5
862,19
506,5
320,5
279,8
20,13
415,28
629,5
546,3
85,8
774,5
314,22
239,9
901,38
978,21
414,5
732,5
563,35
866,5
447,34
786,23
662,5
161,34
49,34
396,5
729,20
476,5
900,34
873,34
498,5
731,7
259,34
326,5
0,34
30,34
457,5
676,12
493,5
392,18
990,34
93,5
60,5
977,5
182,5
235,5
132,34
610,5
871,5
801,0
470,5
138,5
691,5
73,5
500,34
646,6
92,8
165,5
848,5
845,22
194,11
868,34
367,9
547,34
225,30
79,5
460,37
254,5
420,12
170,25
301,34
669,16
168,5
829,17
885,12
323,5
185,24
679,5
808,19
268,2
958,5
266,5
59,5
118,5
993,5
989,34
90,13
8,5
943,5
904,29
