id_source,id_target
237,0
932,1
236,1
1,6
835,1
769,1
149,1
190,1
17,1
364,4
131,1
12,2
318,5
78,1
263,1
872,4
249,1
100,1
48,1
368,4
632,4
109,1
446,1
110,6
619,6
186,1
42,1
285,6
775,3
169,1
146,1
543,1
382,1
61,0
153,6
4,6
533,6
733,1
69,6
184,1
331,5
605,4
157,4
870,1
980,4
305,1
549,0
917,1
938,4
5,4
539,2
334,4
723,6
526,1
862,1
506,1
320,4
279,6
20,6
415,4
629,1
546,6
85,1
774,1
314,0
239,1
901,6
978,1
414,1
732,1
563,1
866,1
447,1
786,4
662,1
161,1
49,1
396,1
729,1
476,1
900,4
873,1
498,0
731,1
259,1
326,4
0,3
30,1
457,3
676,1
493,1
392,6
990,1
93,1
60,5
977,1
182,1
235,5
132,7
610,6
871,1
801,1
470,4
138,1
691,6
73,5
500,1
646,5
92,1
165,1
848,1
845,4
194,6
868,1
367,0
547,0
225,1
79,0
460,1
254,0
420,1
170,1
301,4
669,2
168,1
829,1
885,3
323,1
185,1
679,5
808,1
268,4
958,4
266,1
59,1
118,5
993,5
989,1
90,6
8,1
943,0
904,3
