id_source,id_target
964,30.0
319,24.0
426,15.0
326,29.0
519,21.0
128,7.0
173,22.0
787,7.0
75,3.0
539,19.0
615,19.0
211,20.0
251,22.0
174,30.0
512,8.0
869,30.0
492,22.0
292,3.0
875,2.0
674,0.0
589,23.0
287,29.0
751,10.0
463,14.0
665,29.0
453,3.0
596,33.0
195,22.0
855,2.0
504,19.0
333,17.0
236,20.0
95,23.0
521,26.0
231,14.0
578,5.0
361,22.0
446,14.0
406,22.0
652,3.0
152,3.0
771,22.0
716,14.0
267,14.0
343,3.0
825,12.0
645,23.0
634,15.0
817,22.0
466,21.0
55,3.0
908,18.0
486,15.0
164,23.0
515,3.0
270,10.0
239,31.0
119,14.0
380,20.0
569,3.0
558,35.0
537,23.0
63,23.0
929,9.0
600,4.0
662,15.0
296,34.0
112,29.0
462,1.0
115,23.0
487,23.0
786,22.0
402,22.0
952,3.0
735,20.0
555,22.0
799,14.0
963,9.0
114,18.0
51,3.0
169,8.0
176,20.0
738,22.0
503,23.0
685,25.0
480,29.0
598,14.0
80,
982,25.0
740,14.0
843,33.0
616,17.0
773,25.0
404,17.0
336,3.0
221,10.0
736,24.0
308,29.0
244,21.0
986,19.0
810,4.0
481,3.0
988,24.0
777,14.0
451,25.0
940,3.0
872,4.0
205,8.0
859,4.0
724,14.0
497,16.0
389,25.0
939,3.0
529,8.0
419,10.0
720,3.0
630,19.0
378,14.0
209,14.0
476,25.0
65,7.0
396,5.0
188,28.0
43,25.0
511,20.0
913,22.0
273,25.0
471,14.0
892,22.0
531,12.0
325,3.0
582,17.0
160,22.0
977,14.0
143,16.0
149,14.0
469,8.0
874,15.0
666,33.0
233,14.0
49,26.0
358,3.0
878,3.0
935,18.0
992,14.0
39,20.0
130,14.0
862,20.0
774,6.0
619,14.0
416,33.0
932,11.0
323,18.0
23,32.0
590,15.0
467,25.0
384,33.0
408,27.0
13,3.0
681,25.0
76,28.0
229,29.0
846,21.0
618,28.0
11,25.0
572,12.0
40,34.0
877,14.0
805,
505,13.0
145,3.0
921,20.0
166,27.0
288,3.0
48,15.0
218,9.0
984,29.0
745,14.0
523,17.0
100,22.0
969,14.0
473,
