id,label
0,AJR Am J Roentgenol
1,ANZ J Surg
2,ARYA Atheroscler
3,Acta Cardiol
4,Acta Inform Med
5,Acta Med Indones
6,Acute Card Care
7,Am Heart J
8,Am J Emerg Med
9,Am J Hosp Palliat Care
10,Am J Med
11,Am J Physiol Gastrointest Liver Physiol
12,Anaerobe
13,Anaesth Intensive Care
14,Anaesthesist
15,Anim Cells Syst (Seoul)
16,Ann Cardiol Angeiol (Paris)
17,Ann Dermatol Venereol
18,Ann Pediatr Cardiol
19,Ann Thorac Surg
20,Arch Cardiol Mex
21,Arch Osteoporos
22,Asian Cardiovasc Thorac Ann
23,Aust J Gen Pract
24,BMC Cardiovasc Disord
25,BMC Neurol
26,BMC Pediatr
27,BMJ Case Rep
28,Br J Hosp Med (Lond)
29,Brain Stimul
30,Cardiol J
31,Cardiol Young
32,Cardiovasc Revasc Med
33,Catheter Cardiovasc Interv
34,Chaos
35,Circ J
36,Circulation
37,Cleve Clin J Med
38,Clin Nucl Med
39,Congenit Heart Dis
40,Contact Dermatitis
41,Cureus
42,Curr Cardiol Rev
43,Dermatol Surg
44,Dtsch Arztebl Int
45,Dtsch Med Wochenschr
46,Echocardiography
47,Eur Heart J
48,Eur Heart J Case Rep
49,Eur J Cardiothorac Surg
50,Eur J Oral Sci
51,EuroIntervention
52,Europace
53,Exp Ther Med
54,Front Cardiovasc Med
55,Front Physiol
56,G Ital Cardiol (Rome)
57,Gen Thorac Cardiovasc Surg
58,Georgian Med News
59,Geriatr Gerontol Int
60,Headache
61,Heart
62,Heart Asia
63,Heart Lung Circ
64,Heart Rhythm
65,Heart Surg Forum
66,HeartRhythm Case Rep
67,Hellenic J Cardiol
68,Herz
69,Herzschrittmacherther Elektrophysiol
70,IDCases
71,IEEE J Biomed Health Inform
72,Indian Heart J
73,Indian J Crit Care Med
74,Indian Pacing Electrophysiol J
75,Int Heart J
76,Int J Cardiol
77,Intern Emerg Med
78,Intern Med
79,J Am Anim Hosp Assoc
80,J Am Coll Cardiol
81,J Am Heart Assoc
82,J Am Vet Med Assoc
83,J Arrhythm
84,J Atr Fibrillation
85,J Card Surg
86,J Cardiol Cases
87,J Cardiothorac Vasc Anesth
88,J Cardiovasc Electrophysiol
89,J Cardiovasc Med (Hagerstown)
90,J Electrocardiol
91,J Emerg Med
92,J Eval Clin Pract
93,J Gen Physiol
94,J Geriatr Cardiol
95,J Innov Card Rhythm Manag
96,J Int Med Res
97,J Interv Card Electrophysiol
98,J Invasive Cardiol
99,J Investig Med High Impact Case Rep
100,J La State Med Soc
101,J Med Cases
102,J Med Eng Technol
103,J Med Imaging Radiat Oncol
104,J Mol Cell Cardiol
105,J Perioper Pract
106,J Saudi Heart Assoc
107,J Spinal Cord Med
108,J Thromb Thrombolysis
109,J Vet Cardiol
110,J Vet Intern Med
111,J Wound Care
112,JACC Case Rep
113,JACC Clin Electrophysiol
114,JAMA
115,JAMA Cardiol
116,JAMA Intern Med
117,JAMA Netw Open
118,JAMA Neurol
119,Kardiochir Torakochirurgia Pol
120,Kardiol Pol
121,Korean J Thorac Cardiovasc Surg
122,Kyobu Geka
123,MMW Fortschr Med
124,Math Biosci
125,Med Clin (Barc)
126,Med Devices (Auckl)
127,Med Sci Monit
128,Medicine (Baltimore)
129,Mol Med Rep
130,Monaldi Arch Chest Dis
131,Nat Rev Cardiol
132,Nursing
133,Pacing Clin Electrophysiol
134,Pan Afr Med J
135,Pediatr Cardiol
136,Pediatr Emerg Care
137,Phys Med
138,Pneumologie
139,Praxis (Bern 1994)
140,Prehosp Disaster Med
141,Rev Esp Cardiol (Engl Ed)
142,Rev Esp Quimioter
143,Rev Med Liege
144,Rev Med Suisse
145,Rev Port Cardiol (Engl Ed)
146,Spartan Med Res J
147,Srp Arh Celok Lek
148,Stem Cells Int
149,Tex Heart Inst J
150,Tremor Other Hyperkinet Mov (N Y)
151,Turk Kardiyol Dern Ars
152,Wiad Lek
153,Wien Med Wochenschr
154,World J Clin Cases
155,World J Gastroenterol
156,World J Stem Cells
157,Zhongguo Yi Liao Qi Xie Za Zhi
