id_source,id_target
0,143
2,3
5,151
7,133
10,75
14,111
16,157
18,113
22,102
25,15
27,88
30,31
31,39
32,115
34,133
37,98
42,82
44,39
46,11
49,115
50,41
56,147
60,139
63,85
65,32
66,76
69,56
71,74
75,70
77,133
79,9
80,57
82,23
85,8
87,109
93,136
98,128
101,64
110,134
111,93
112,123
116,133
117,69
121,116
125,3
126,126
127,69
129,1
136,2
137,149
141,145
143,104
145,71
152,135
153,16
154,86
165,35
169,97
170,117
171,83
180,102
181,31
182,49
184,149
189,89
191,151
195,133
196,10
198,38
207,153
218,22
220,108
221,122
224,112
239,150
242,72
243,8
245,105
257,133
258,58
267,37
272,73
273,114
287,113
290,74
293,109
302,149
315,130
320,90
323,76
327,17
330,21
331,74
334,138
335,76
340,32
341,87
344,52
350,27
351,66
357,85
359,52
361,154
363,90
365,121
371,133
380,113
388,88
389,140
395,66
396,95
398,69
401,61
404,76
406,63
409,88
415,90
422,133
426,64
427,78
430,113
432,122
435,109
436,149
437,141
438,66
440,13
441,97
442,68
449,16
450,90
460,49
461,76
462,66
465,113
467,109
472,131
475,91
477,72
483,90
493,31
497,89
499,47
501,44
502,144
504,28
505,88
506,141
512,26
514,103
518,97
527,60
528,79
539,151
544,48
546,96
547,100
550,49
551,76
554,77
558,52
560,109
562,5
566,12
574,14
593,65
595,74
600,64
601,125
606,129
607,66
608,52
611,78
612,112
615,52
618,52
619,6
620,133
621,40
630,133
631,55
632,19
634,78
635,149
636,120
637,47
639,18
641,30
642,113
647,32
648,127
650,124
656,52
657,20
658,142
672,67
673,47
674,69
680,22
683,86
686,64
691,106
696,41
697,86
699,53
701,67
706,156
707,51
708,52
709,43
712,88
713,132
715,88
723,36
726,25
727,42
731,110
732,112
735,76
736,95
740,62
741,141
743,135
745,47
746,64
747,66
749,101
755,52
759,27
760,19
761,41
764,118
771,133
773,112
774,34
776,46
793,141
796,112
797,133
798,3
800,4
803,88
805,92
807,19
809,54
814,66
816,0
827,52
834,24
842,69
845,133
847,50
850,19
851,52
855,80
857,151
860,86
868,66
871,116
876,59
877,52
882,141
883,133
886,72
888,18
890,83
894,88
896,29
897,59
905,108
907,66
910,133
913,88
917,107
918,64
928,152
929,148
932,35
933,137
937,146
939,119
942,45
944,83
948,20
949,88
951,33
955,81
958,8
961,67
963,84
965,97
966,7
969,133
974,94
977,52
978,61
979,155
993,82
994,31
995,99
