,id_Source,id_Target
0,890,237
1,736,932
2,574,236
3,153,1
4,894,835
5,845,769
6,745,149
7,749,190
8,101,17
9,75,364
10,547,131
11,198,12
12,797,318
13,814,78
14,928,263
15,771,872
16,504,249
17,955,100
18,409,48
19,512,368
20,506,632
21,796,109
22,49,446
23,195,110
24,657,619
25,69,186
26,152,42
27,713,285
28,415,775
29,630,169
30,977,146
31,979,543
32,344,382
33,897,61
34,656,153
35,438,4
36,111,533
37,245,733
38,637,69
39,528,184
40,850,331
41,701,605
42,615,157
43,191,870
44,942,980
45,22,305
46,380,549
47,450,917
48,546,938
49,441,5
50,672,539
51,816,334
52,502,723
53,658,526
54,619,862
55,243,506
56,612,320
57,600,279
58,641,20
59,776,415
60,939,629
61,85,546
62,87,85
63,913,774
64,566,314
65,2,239
66,437,901
67,404,978
68,449,414
69,969,732
70,620,563
71,56,866
72,709,447
73,315,786
74,847,662
75,905,161
76,965,49
77,842,396
78,798,729
79,993,476
80,929,900
81,121,873
82,774,498
83,117,731
84,886,259
85,741,326
86,499,0
87,475,30
88,539,457
89,636,676
90,37,493
91,707,392
92,273,990
93,696,93
94,442,60
95,631,977
96,14,182
97,16,235
98,77,132
99,363,610
100,5,871
101,995,801
102,436,470
103,683,138
104,116,691
105,127,73
106,430,500
107,30,646
108,357,92
109,621,165
110,608,848
111,518,845
112,401,194
113,883,868
114,361,367
115,330,547
116,0,225
117,239,79
118,868,460
119,180,254
120,994,420
121,63,170
122,554,301
123,501,669
124,477,168
125,855,829
126,958,885
127,460,323
128,365,185
129,715,679
130,708,808
131,544,268
132,427,958
133,731,266
134,937,59
135,803,118
136,359,993
137,327,989
138,497,90
139,674,8
140,932,943
141,773,904
