id,title
0,[Micra® leadless pacemaker]
2,Pacemaker exteriorization
5,Pacemaker pocket infection rate and suture technique
7,"Electrocardiographic predictors of pacemaker battery depletion: Diagnostic sensitivity, specificity, and clinical risk"
10,Atrioventricular Block after Tricuspid Valve Surgery
14,Infected cardiac pacemaker pocket
16,[Design of Cardiac Pacemaker Based on Low Power MCU]
18,Coronary-Cameral Fistula Secondary to Pacemaker Implantation
22,Low delay rate adaptive pacemaker using FPGA embedded piezoelectric sensor
25,Hesperidin depolarizes the pacemaker potentials through 5-HT(4) receptor in murine small intestinal interstitial cells of Cajal
27,Concomitant leadless pacemaker implantation and lead extraction during an active infection
30,Permanent pacing post-Fontan is not associated with reduced long-term survival
31,Pacemaker treatment after Fontan surgery-A Swedish national study
32,An Unusual Electrocardiogram Following Pacemaker Implantation
34,Prevention of adhesive capsulitis following pacemaker implantation: A randomized controlled study
37,Alpha-Loop for Permanent Pacemaker Implantation in Restrictive Cardiomyopathy
42,What Is Your Diagnosis?
44,Cardiac pacing in cardioinhibitory syncope in children
46,Acetylcholine exerts inhibitory and excitatory actions on mouse ileal pacemaker activity: role of muscarinic versus nicotinic receptors
49,Living on a Wire
50,Right Ventricular Perforation Presenting as Tingling of the Left Breast
56,Is pacemaker therapy the right key to patients with vasovagal syncope?
60,[Follow-up of Patients with Cardiac Pacemakers]
63,Permanent pacemaker insertion postmitral surgery: Do the atrial access and the origin of the sinoatrial node artery matter?
65,Conduction disturbances after TAVR: Electrophysiological studies and pacemaker dependency
66,Pacemakers are associated with a higher risk of late death and transplantation in the Fontan population
69,[Materiale suppletivo]<BR>Centri collaboranti al Registro Italiano Pacemaker e Defibrillatori 2015
71,Halo-shape technique for leadless pacemaker implantations: A case report
75,Pacemaker lead endocarditis: A rare cause of relapsing brucellosis
77,Percutaneous epicardial placement of a prototype miniature pacemaker under direct visualization: An infant porcine chronic survival study
79,Deactivating a Pacemaker in Home Care Hospice: Experiences of the Family Caregivers of a Terminally Ill Patient
80,A case of cardiac strangulation following epicardial pacemaker implantation
82,Cardiac rhythm management devices
85,Dizziness spells: Should one suspect the pacemaker?
87,Follow-up of troponin I concentration in dogs with atrioventricular block and dual-chamber pacing in a case-matched study
93,Transcutaneous Pacing of a 4-Year-Old Child
98,Pacemaker dependency after transcatheter aortic valve replacement compared to surgical aortic valve replacement
