id,label
0,Aalborg University Hospital
1,Aalborg University Hospital|Svend Andersens Foundation|Peacs|Aalborg University|Karl G Andersens Fond|Sygekassernes Helsefond
2,Abbott Medical Devices
3,Abbott Medical Devices|Population Health Research Institute
4,Arrhythmia Network Technology S.L.
5,Assistance Publique Hopitaux De Marseille
6,Assiut University
7,Assiut University|Manchester University NHS Foundation Trust
8,"AtriCure, Inc."
9,Azienda Ospedaliera Cardinale G. Panico
10,Baylor Research Institute
11,Beth Israel Deaconess Medical Center
12,Biotronik (Beijing) Medical Device Ltd.
13,Biotronik SE & Co. KG
14,Boston Scientific Corporation
15,"CVRx, Inc."
16,"Central Hospital, Nancy, France|National Research Agency, France|Institut National de la Santé Et de la Recherche Médicale, France|Assistance Publique Hopitaux De Marseille|University of Lorraine"
17,"Charite University, Berlin, Germany"
18,"Charles University, Czech Republic"
19,Children's Healthcare of Atlanta
20,Daniel L Lustgarten|Medtronic|University of Vermont
21,Deutsches Herzzentrum Muenchen
22,Dipan Shah|The Methodist Hospital Research Institute
23,Dr. Dirk Bastian|Boston Scientific Corporation|Paracelsus Medical University
24,Eastbourne General Hospital
25,Edward Hospital|Medtronic|Abbott Medical Devices|Boston Scientific Corporation|Edward-Elmhurst Health System
26,Edward-Elmhurst Health System
27,Habib Khan|London Health Sciences Centre|Lawson Health Research Institute
28,Hartford Hospital
29,Henry Ford Health System|Medtronic
30,Hillel Yaffe Medical Center
31,Hunan Provincial People's Hospital
32,Hvidovre University Hospital|Sygekassernes Helsefond|Eva og Henry Frænkels Mindefond|Sanofi|Thorkild Steenbecks Legat|Toyota-Fonden|Snedkermester Sophus Jacobsen and hustru Astrid Jacobsens Foundation
33,InCor Heart Institute|Spectator Healthcare Technology
34,Indiana University
35,Javier López Pais|Hospital Clinico Universitario de Santiago
36,Johns Hopkins University
37,"Klinik für Kardiologie, Pneumologie und Angiologie|Heinrich-Heine University, Duesseldorf"
38,Lancaster General Hospital
39,Lars Peter Riber|Odense Patient Data Explorative Network|GCP-unit at Odense University Hospital|Odense University Hospital
40,LivaNova
41,Mayo Clinic
42,Mayo Clinic|Abbott Medical Devices
43,Mayo Clinic|National Institutes of Health (NIH)
44,"Medical College of Wisconsin|Medtronic|University of Wisconsin, Milwaukee"
45,Medical University Innsbruck
46,Medical University of Vienna
47,Medical University of Warsaw
48,Medtronic Bakken Research Center
49,Medtronic Bakken Research Center|Medtronic
50,Medtronic Bakken Research Center|Medtronic Cardiovascular
51,Medtronic Cardiac Rhythm and Heart Failure
52,Medtronic Cardiac Rhythm and Heart Failure|Medtronic
53,Medtronic Cardiovascular
54,"Military Institute of Medicine, Poland"
55,Montreal Heart Institute|Sorin Group Canada
56,"Nanostim, Inc."
57,National Cerebral and Cardiovascular Center
58,"National Heart, Lung, and Blood Institute (NHLBI)"
59,National Institute of Neurological Disorders and Stroke (NINDS)|National Institutes of Health Clinical Center (CC)
60,National Taiwan University Hospital
61,National Taiwan University Hospital|Taiwan Society of Cardiology|Chang Gung Memorial Hospital
62,National and Kapodistrian University of Athens
63,"National and Kapodistrian University of Athens|Naval Hospital, Athens|Silesian Centre for Heart Diseases|University General Hospital of Heraklion|Interbalkan Medical Center, Thessaloniki, Greece"
64,Oregon Health and Science University
65,Ottawa Heart Institute Research Corporation|Canadian Institutes of Health Research (CIHR)
66,Peking University Third Hospital
67,Policlinico Casilino ASL RMB
68,Pusan National University Hospital
69,R&D Cardiologie
70,Region Gävleborg
71,"Rigshospitalet, Denmark"
72,"Saint Vincent's Hospital, Korea|Biotronik SE & Co. KG"
73,Samir Saba|University of Pittsburgh
74,"Second Affiliated Hospital, School of Medicine, Zhejiang University"
75,Society for Cardiovascular Magnetic Resonance
76,Talon Surgical
77,The Cleveland Clinic
78,The Guthrie Clinic
79,Turku University Hospital
80,"University Hospital ""Sestre Milosrdnice"""
81,"University Hospital Inselspital, Berne"
82,"University Hospital, Bonn|Medtronic"
83,"University Hospital, Clermont-Ferrand"
84,"University Hospital, Montpellier"
85,University of Aarhus
86,University of Birmingham|Sandwell & West Birmingham Hospitals NHS Trust
87,University of Cadiz
88,"University of California, Los Angeles|Biotronik, Inc."
89,University of Cincinnati
90,University of Leeds
91,"University of Leeds|National Institute for Health Research, United Kingdom"
92,University of Magdeburg
93,University of Michigan
94,University of Pennsylvania|American Heart Association|American Academy of Sleep Medicine
95,University of Sao Paulo|Duke University
96,Universitätsklinikum Köln|Medtronic
97,Vanderbilt University Medical Center|Abbott Medical Devices
98,Vanderbilt University|Patient-Centered Outcomes Research Institute|Stony Brook University|Indiana University|Wayne State University|VA Office of Research and Development|University of Cincinnati|Washington University School of Medicine|Baylor College of Medicine|MetroHealth Medical Center|University of Mississippi Medical Center|Emory University|University of Iowa|Thomas Jefferson University|University of Texas|Virginia Commonwealth University|Vanderbilt University Medical Center
99,Washington University School of Medicine
100,Weill Medical College of Cornell University
101,"West China Hospital|St Thomas' Hospital, London|Rigshospitalet, Denmark"
102,Yale University|Spectranetics Corporation
103,Yong Seog Oh|Seoul St. Mary's Hospital
