id_source,id_target
237,9
932,42
236,1
1,70
835,79
769,102
149,51
190,90
17,36
364,29
131,44
12,93
318,4
78,85
263,86
872,22
249,36
100,51
48,24
368,74
632,37
109,48
446,83
110,56
619,28
186,100
42,68
285,54
775,101
169,25
146,73
543,51
382,77
61,2
153,46
4,6
533,89
733,71
69,91
184,14
331,51
605,53
157,31
870,2
980,2
305,49
549,21
917,12
938,81
5,18
539,41
334,20
723,16
526,13
862,98
506,51
320,38
279,17
20,103
415,35
629,5
546,30
85,92
774,14
314,97
239,0
901,75
978,15
414,65
732,14
563,58
866,13
447,51
786,77
662,51
161,82
49,13
396,69
729,59
476,32
900,57
873,51
498,2
731,67
259,51
326,78
0,61
30,40
457,27
676,96
493,13
392,60
990,53
93,48
60,13
977,81
182,26
235,14
132,34
610,47
871,62
801,43
470,11
138,90
691,80
73,23
500,48
646,99
92,66
165,13
848,76
845,94
194,95
868,48
367,33
547,7
225,3
79,2
460,19
254,2
420,46
170,84
301,64
669,72
168,13
829,87
885,8
323,55
185,45
679,69
808,50
268,88
958,53
266,14
59,13
118,51
993,52
989,53
90,103
8,10
943,63
904,39
